link_name,status_link
JetNation FanDuel League; Week 4,http://beforeitsnews.com/sports/2017/09/jetnation-fanduel-league-week-4-2701323.html
"U.S. President Donald Trump Quietly Signs Law To Allow Warrantless Searches In Parts Of VA, DC and MD",https://www.activistpost.com/2017/09/u-s-president-donald-trump-quietly-signs-law-allow-warrant-less-searches-parts-va-dc-md.html
2017 Fantasy Football Team Defense Rankings - Week 5,http://beforeitsnews.com/sports/2017/10/2017-fantasy-football-team-defense-rankings-week-5-2701900.html
Just Shut Up & Play Some Damn Baseball!!,http://beforeitsnews.com/sports/2017/09/just-shut-up-play-some-damn-baseball-2701059.html
"10/7: Chuck Axed; HBD Brickyard, Adam, Moonlight Ace & Chuck; AS; Season Finales...",http://beforeitsnews.com/sports/2017/10/107-chuck-axed-hbd-brickyard-adam-moonlight-ace-chuck-as-season-finales-2702154.html
Trump Bemoans ‘Little Appreciation’ As San Juan Mayor Begs For Water,http://beforeitsnews.com/u-s-politics/2017/10/trump-bemoans-little-appreciation-as-san-juan-mayor-begs-for-water-2537595.html
"In Meeting With Military, Trump Talks Of 'Calm Before The Storm'",http://beforeitsnews.com/u-s-politics/2017/10/in-meeting-with-military-trump-talks-of-calm-before-the-storm-2537421.html
Teacher Sparks Outrage By Asking Kids To Make Nazi Mascots,http://beforeitsnews.com/u-s-politics/2017/10/teacher-sparks-outrage-by-asking-kids-to-make-nazi-mascots-2537450.html
"9/28 Through the 40s: The Gloaming; HBD Bill, Lou, Cy the Third, Everett, Cy, Leon & Buck; Clarke Honored;Tiny 2-Hitter",http://beforeitsnews.com/sports/2017/09/928-through-the-40s-the-gloaming-hbd-bill-lou-cy-the-third-everett-cy-leon-buck-clarke-honoredtiny-2-hitter-2701370.html
Hillary Clinton Suggests That Trump May Order the Murder of Journalists,http://beforeitsnews.com/u-s-politics/2017/09/hillary-clinton-suggests-that-trump-may-order-the-murder-of-journalists-2536870.html
"9/29 Through the 40s: HBD Cannonball & Paul, Camnitz Clan, Game Stories",http://beforeitsnews.com/sports/2017/09/929-through-the-40s-hbd-cannonball-paul-camnitz-clan-game-stories-2701470.html
"10/3 Expo Park-Forbes Field Era: Pirates, Grays WS Win, Game Stories",http://beforeitsnews.com/sports/2017/10/103-expo-park-forbes-field-era-pirates-grays-ws-win-game-stories-2701784.html
Blackhawks Roster Breakdown: Goalies,http://beforeitsnews.com/sports/2017/09/blackhawks-roster-breakdown-goalies-2701437.html
CycleBar Westgate West Hosts Benefit Cycle Ride to Help ‘Fragile Bone Disease’ Foundation on Oct. 7,http://beforeitsnews.com/sports/2017/10/cyclebar-westgate-west-hosts-benefit-cycle-ride-to-help-fragile-bone-disease-foundation-on-oct-7-2701768.html
PA Attorney General Concerned About Equifax Cyberattack; Will U.S. Attorneys General Be Upset About Utility Smart Meters Hacking?,https://www.activistpost.com/2017/10/pa-attorney-general-concerned-equifax-cyberattack-will-us-attorneys-general-upset-utility-smart-meters-hacking.html
"10/1 Expo Park-Forbes Field Era: Deacon Whips Cy In 1st WS Game, Waner's 237 Hits, Boss Man Roberto & More",http://beforeitsnews.com/sports/2017/10/101-expo-park-forbes-field-era-deacon-whips-cy-in-1st-ws-game-waners-237-hits-boss-man-roberto-more-2701623.html
Google Clips Automatically Identifies Everyone Including Your Pets,https://www.activistpost.com/2017/10/google-clips-automatically-identifies-everyone-including-pets.html
2017 Fantasy Football Kicker Rankings - Week 4,http://beforeitsnews.com/sports/2017/09/2017-fantasy-football-kicker-rankings-week-4-2701252.html
"A ""problem"" For The Wild Card Game & Sanchez...",http://beforeitsnews.com/sports/2017/10/a-problem-for-the-wild-card-game-sanchez-2701709.html
2017 Fantasy Football Running Back Rankings - Week 5,http://beforeitsnews.com/sports/2017/10/2017-fantasy-football-running-back-rankings-week-5-2701799.html
What Would Happen To You in The Microwave?,http://beforeitsnews.com/u-s-politics/2017/09/what-would-happen-to-you-in-the-microwave-2536907.html
Ravens vs. Steelers - Friday/Game Status,http://beforeitsnews.com/sports/2017/09/ravens-vs-steelers-fridaygame-status-3-2701521.html
Newton Laughs at Female Reporter After Asking a Question About WR Routes,http://beforeitsnews.com/sports/2017/10/newton-laughs-at-female-reporter-after-asking-a-question-about-wr-routes-2701973.html
Las Vegas Police Deny NFL’s Michael Bennett Was Racially Profiled as Video Rebuts Player’s Claims,http://beforeitsnews.com/u-s-politics/2017/09/las-vegas-police-deny-nfls-michael-bennett-was-racially-profiled-as-video-rebuts-players-claims-2537055.html
"10/7: Chuck Axed; HBD Brickyard, Adam, Moonlight Ace & Chuck; AS; Season Finales...",http://beforeitsnews.com/sports/2017/10/107-chuck-axed-hbd-brickyard-adam-moonlight-ace-chuck-as-season-finales-2702154.html
Pumpkin Spiced White Hot Chocolate,http://beforeitsnews.com/u-s-politics/2017/09/pumpkin-spiced-white-hot-chocolate-2537063.html
Duping Americans And Wasting Taxpayers’ Money,https://www.activistpost.com/2017/09/duping-americans-wasting-taxpayers-money.html
Nibiru Final Warning - ‘Just How Long Does Earth Have Left Before Planet X Doom’,http://beforeitsnews.com/u-s-politics/2017/10/nibiru-final-warning-just-how-long-does-earth-have-left-before-planet-x-doom-2537632.html
In 2000 The Simpsons Predicted The Donald Trump Presidency,http://dailybuzzlive.com/2000-simpsons-predicted-donald-trump-presidency/
Are Dems’ Late-Night Sock Puppets a Sign that the Fairness Doctrine Should be Restored?,http://beforeitsnews.com/u-s-politics/2017/10/are-dems-late-night-sock-puppets-a-sign-that-the-fairness-doctrine-should-be-restored-2537562.html
"Very Violent Reversal Before End of 2017, N.Korea Thinks US is Bluffing – James Rickards, Greg Hunter Video",http://beforeitsnews.com/opinion-conservative/2017/10/very-violent-reversal-before-end-of-2017-n-korea-thinks-us-is-bluffing-james-rickards-greg-hunter-video-3327266.html
"New Documents Show Pentagon Is Shipping Billions Worth Of Weapons To Terrorists In Syria, Trying To Cover Its Tracks",https://www.activistpost.com/2017/09/new-documents-show-pentagon-is-shipping-billions-worth-of-weapons-to-terrorists-in-syria-trying-to-cover-its-tracks.html
Mom Puts Glasses on Her Baby – Watch Her Face As She Sees Her Dad for the First Time,http://dailybuzzlive.com/mom-puts-glasses-baby-watch-face-sees-dad-first-time/
Bizarre Things That Just Don’t Make Sense About the Las Vegas Mass Shooting False Flag Event; Bizarre Things That Just Don’t Make Sense About The Las Vegas Mass Shooting False Flag Event,http://beforeitsnews.com/alternative/2017/10/bizarre-things-that-just-dont-make-sense-about-the-las-vegas-mass-shooting-false-flag-event-3558692.html
Lawrence Thomas Officially Makes Switch to Fullback,http://beforeitsnews.com/sports/2017/10/lawrence-thomas-officially-makes-switch-to-fullback-2701946.html
Las Vegas Shooting Makes Country Guitarist Change His Mind On Guns,http://beforeitsnews.com/u-s-politics/2017/10/las-vegas-shooting-makes-country-guitarist-change-his-mind-on-guns-2537201.html
Huge Triangle Shadow In The Sky In Louisiana,http://www.disclose.tv/news/huge_triangle_shadow_in_the_sky_in_louisiana/140427
Some Tips for Selecting The Best Flower Bouquet Online,http://beforeitsnews.com/entertainment/2017/09/some-tips-for-selecting-the-best-flower-bouquet-online-2670516.html
Kids & Fitness....Get the Kids Off the Couch & Have Some Fun!,http://beforeitsnews.com/sports/2017/09/kids-fitness-get-the-kids-off-the-couch-have-some-fun-2701071.html
North Korea's Other Threat: Why EMP Becomes An Extinction Level Event,http://www.disclose.tv/news/north_koreas_other_threat_why_emp_becomes_an_extinction_level_event/140397
Where Is President Trump’s Sense Of Compassion?,http://beforeitsnews.com/u-s-politics/2017/10/where-is-president-trumps-sense-of-compassion-2537449.html
"New Documents Show Pentagon Is Shipping Billions Worth Of Weapons To Terrorists In Syria, Trying To Cover Its Tracks",https://www.activistpost.com/2017/09/new-documents-show-pentagon-is-shipping-billions-worth-of-weapons-to-terrorists-in-syria-trying-to-cover-its-tracks.html
Jimmy Kimmel Weeps As He Talks About Shooting In His Hometown,http://beforeitsnews.com/u-s-politics/2017/10/jimmy-kimmel-weeps-as-he-talks-about-shooting-in-his-hometown-2537202.html
Mom Fights Back Home Invaders On Detroit’s West Side,http://dailybuzzlive.com/mom-fights-back-home-invaders-detroits-west-side/
Gatekeeper Invades The 312 Podcastto Preview the Blackhawks Season,http://beforeitsnews.com/sports/2017/10/gatekeeper-invades-the-312-podcastto-preview-the-blackhawks-season-2701850.html
Can You be Hacked by the World Around You?,https://www.activistpost.com/2017/10/can-hacked-world-around.html
"10/5 TRS-PNC Park: Bucs Win in '71, '79; Lose Four Playoffs (Dang Reds!); Tracy Fired",http://beforeitsnews.com/sports/2017/10/105-trs-pnc-park-bucs-win-in-71-79-lose-four-playoffs-dang-reds-tracy-fired-2702005.html
