size,html_len,number_of_links,number_of_buttons,number_of_inputs,number_of_ul,number_of_ol,number_of_lists,number_of_h1,number_of_h2,total_h1_len,total_h2_len,avg_h1_len,avg_h2_len,number_of_images,number_of_tags,number_of_unique_tags,textdata
144945,48290,154,3,11,2,0,2,1,1,32,8,32.0,8.0,68,657,31,jetnation fanduel league week 4 comments
537,162,0,0,0,0,0,0,1,0,13,0,13.0,0.0,0,8,7,403 forbidden
149163,49696,161,3,11,3,0,3,1,1,54,8,54.0,8.0,70,694,30,2017 fantasy football team defense rankings â week 5 comments
172980,57635,163,3,11,2,0,2,1,1,40,8,40.0,8.0,72,732,33,just shut up play some damn baseball comments
158469,52798,151,3,11,6,0,6,1,1,83,8,83.0,8.0,67,679,32,107 chuck axed hbd brickyard adam moonlight ace chuck as season finales comments
139842,46589,149,3,11,2,0,2,1,1,68,8,68.0,8.0,65,639,30,trump bemoans ‘little appreciation’ as san juan mayor begs for water comments
140265,46730,149,3,11,2,0,2,1,1,64,8,64.0,8.0,65,639,30,in meeting with military trump talks of calm before the storm comments
139827,46584,149,3,11,2,0,2,1,1,58,8,58.0,8.0,65,639,30,teacher sparks outrage by asking kids to make nazi mascots comments
165570,55165,151,3,11,6,0,6,1,1,119,8,119.0,8.0,67,674,32,928 through the 40s the gloaming hbd bill lou cy the third everett cy leon buck clarke honoredtiny 2hitter comments
154476,51467,155,3,11,2,0,2,1,1,71,8,71.0,8.0,64,673,33,hillary clinton suggests that trump may order the murder of journalists comments
162243,54056,151,3,11,6,0,6,1,1,71,8,71.0,8.0,67,679,32,929 through the 40s hbd cannonball paul camnitz clan game stories comments
154209,51378,150,3,11,5,0,5,1,1,68,8,68.0,8.0,66,661,32,103 expo parkforbes field era pirates grays ws win game stories comments
153510,51145,150,3,11,2,0,2,1,1,36,8,36.0,8.0,65,654,32,blackhawks roster breakdown goalies comments
154089,51338,155,3,11,2,0,2,1,1,103,8,103.0,8.0,65,688,32,cyclebar westgate west hosts benefit cycle ride to help âfragile bone diseaseâ foundation on oct 7 comments
537,162,0,0,0,0,0,0,1,0,13,0,13.0,0.0,0,8,7,403 forbidden
155562,51829,151,3,11,6,0,6,1,1,106,8,106.0,8.0,67,670,32,101 expo parkforbes field era deacon whips cy in 1st ws game waners 237 hits boss man roberto more comments
537,162,0,0,0,0,0,0,1,0,13,0,13.0,0.0,0,8,7,403 forbidden
148884,49603,160,3,11,3,0,3,1,1,48,8,48.0,8.0,70,689,30,2017 fantasy football kicker rankings â week 4 comments
168279,56068,164,3,11,2,0,2,1,1,47,8,47.0,8.0,70,713,32,a problem for the wild card game sanchez comments
150390,50105,156,3,11,3,0,3,1,1,54,8,54.0,8.0,70,709,30,2017 fantasy football running back rankings â week 5 comments
142404,47443,152,3,11,2,0,2,1,1,42,8,42.0,8.0,64,649,30,what would happen to you in the microwave comments
144093,48006,150,3,11,2,0,2,1,1,40,8,40.0,8.0,64,666,31,ravens vs steelers – fridaygame status comments
150015,49980,158,3,11,2,0,2,1,1,72,8,72.0,8.0,68,664,32,newton laughs at female reporter after asking a question about wr routes comments
145764,48563,151,3,11,2,0,2,1,1,99,8,99.0,8.0,64,645,30,las vegas police deny nflâs michael bennett was racially profiled as video rebuts player’s claims comments
158469,52798,151,3,11,6,0,6,1,1,83,8,83.0,8.0,67,679,32,107 chuck axed hbd brickyard adam moonlight ace chuck as season finales comments
143046,47657,151,3,11,2,0,2,1,1,34,8,34.0,8.0,65,652,30,pumpkin spiced white hot chocolate comments
